Platform_Order_ID,POS_Order_Ref,Order_Date,Platform_Name,Platform_Gross_SAR,Commission_Fee_SAR,VAT_15%_SAR,Net_Payout_SAR,Delivery_Status
REF-80000,POS-1000,2026-08-01,Ninja,123.49,14.82,2.22,106.45,Delivered
REF-80001,POS-1001,2026-08-01,Chefz,148.73,32.72,4.91,111.1,Delivered
REF-80002,POS-1002,2026-08-01,ToYou,194.32999999999998,29.15,4.37,160.81,Delivered
REF-80003,POS-1003,2026-08-01,Chefz,181.89,40.02,6.0,135.87,Delivered
REF-80004,POS-1004,2026-08-01,Chefz,194.4,42.77,6.42,145.21,Delivered
REF-80005,POS-1005,2026-08-01,Hungerstation,83.91,16.78,2.52,64.61,Delivered
REF-80006,POS-1006,2026-08-01,ToYou,153.7,23.05,3.46,127.19,Delivered
REF-80007,POS-1007,2026-08-01,ToYou,186.11,27.92,4.19,154.0,Delivered
REF-80008,POS-1008,2026-08-01,ToYou,88.0,13.2,1.98,72.82,Delivered
REF-80009,POS-1009,2026-08-01,Chefz,76.74,16.88,2.53,57.33,Delivered
REF-80010,POS-1010,2026-08-01,Ninja,246.26,29.55,4.43,197.28,Delivered
REF-80011,POS-1011,2026-08-01,ToYou,133.64000000000001,20.05,3.01,110.58,Delivered
REF-80012,POS-1012,2026-08-01,Chefz,85.28999999999999,18.76,2.81,63.72,Delivered
REF-80013,POS-1013,2026-08-01,Hungerstation,249.21,49.84,7.48,191.89,Delivered
REF-80014,POS-1014,2026-08-01,Ninja,218.47,26.22,3.93,188.32,Delivered
REF-80016,POS-1016,2026-08-02,Ninja,225.35,27.04,4.06,194.25,Delivered
REF-80017,POS-1017,2026-08-02,Chefz,79.63,17.52,2.63,59.48,Delivered
REF-80018,POS-1018,2026-08-02,Jahez,98.56,17.74,2.66,78.16,Delivered
REF-80019,POS-1019,2026-08-02,Ninja,187.08,22.45,3.37,161.26,Delivered
REF-80020,POS-1020,2026-08-02,Hungerstation,217.8,43.56,6.53,167.71,Delivered
REF-80021,POS-1021,2026-08-02,Chefz,219.83,48.36,7.25,164.22,Delivered
REF-80022,POS-1022,2026-08-02,Ninja,124.95,14.99,2.25,107.71,Delivered
REF-80023,POS-1023,2026-08-02,Jahez,203.79000000000002,36.68,5.5,161.61,Delivered
REF-80024,POS-1024,2026-08-02,Jahez,196.82,35.43,5.31,156.08,Delivered
REF-80025,POS-1025,2026-08-02,ToYou,236.48,35.47,5.32,180.69,Delivered
REF-80026,POS-1026,2026-08-02,ToYou,184.42999999999998,27.66,4.15,152.62,Delivered
REF-80027,POS-1027,2026-08-02,Hungerstation,162.44,32.49,4.87,125.08,Delivered
REF-80028,POS-1028,2026-08-02,Ninja,145.75,17.49,2.62,125.64,Delivered
REF-80029,POS-1029,2026-08-02,Ninja,118.18,14.18,2.13,101.87,Delivered
REF-80031,POS-1031,2026-08-02,Ninja,244.47,29.34,4.4,210.73,Delivered
REF-80032,POS-1032,2026-08-03,Ninja,89.66,10.76,1.61,77.29,Delivered
REF-80033,POS-1033,2026-08-03,Jahez,93.72,16.87,2.53,74.32,Delivered
REF-80034,POS-1034,2026-08-03,ToYou,141.98,21.3,3.2,117.48,Delivered
REF-80035,POS-1035,2026-08-03,Chefz,120.74999999999999,26.56,3.98,90.21,Delivered
REF-80036,POS-1036,2026-08-03,ToYou,223.96,33.59,5.04,185.33,Delivered
REF-80037,POS-1037,2026-08-03,Chefz,69.25,15.24,2.29,51.72,Delivered
REF-80038,POS-1038,2026-08-03,Jahez,43.8,7.88,1.18,34.74,Delivered
REF-80039,POS-1039,2026-08-03,Hungerstation,143.72,28.74,4.31,110.67,Delivered
REF-80040,POS-1040,2026-08-03,Ninja,77.55,9.31,1.4,66.84,Delivered
REF-80041,POS-1041,2026-08-03,Jahez,105.25999999999999,18.95,2.84,83.47,Delivered
REF-80042,POS-1042,2026-08-03,Ninja,196.28,23.55,3.53,169.2,Delivered
REF-80043,POS-1043,2026-08-03,Hungerstation,191.4,38.28,5.74,147.38,Delivered
REF-80044,POS-1044,2026-08-03,Hungerstation,104.69,20.94,3.14,80.61,Delivered
REF-80046,POS-1046,2026-08-03,Hungerstation,132.17,26.43,3.96,101.78,Delivered
REF-80047,POS-1047,2026-08-04,Chefz,156.26999999999998,34.38,5.16,116.73,Delivered
REF-80048,POS-1048,2026-08-04,Hungerstation,92.6,18.52,2.78,71.3,Delivered
REF-80049,POS-1049,2026-08-04,Ninja,147.48000000000002,17.7,2.66,127.12,Delivered
REF-80050,POS-1050,2026-08-04,Ninja,245.57,29.47,4.42,196.68,Delivered
REF-80051,POS-1051,2026-08-04,Ninja,142.22,17.07,2.56,122.59,Delivered
REF-80052,POS-1052,2026-08-04,Ninja,207.25,24.87,3.73,178.65,Delivered
REF-80053,POS-1053,2026-08-04,Chefz,131.22,28.87,4.33,98.02,Delivered
REF-80054,POS-1054,2026-08-04,ToYou,113.52,17.03,2.55,93.94,Delivered
REF-80055,POS-1055,2026-08-04,Jahez,157.92,28.43,4.26,125.23,Delivered
REF-80056,POS-1056,2026-08-04,Ninja,180.47,21.66,3.25,155.56,Delivered
REF-80057,POS-1057,2026-08-04,Hungerstation,221.48,44.3,6.64,170.54,Delivered
REF-80058,POS-1058,2026-08-04,Ninja,88.34,10.6,1.59,76.15,Delivered
REF-80059,POS-1059,2026-08-04,Hungerstation,144.83,28.97,4.35,111.51,Delivered
REF-80060,POS-1060,2026-08-04,Hungerstation,160.12,32.02,4.8,123.3,Delivered
REF-80061,POS-1061,2026-08-04,Ninja,201.4,24.17,3.63,173.6,Delivered
REF-80062,POS-1062,2026-08-04,Chefz,44.239999999999995,9.73,1.46,33.05,Delivered
REF-80063,POS-1063,2026-08-05,Hungerstation,223.97000000000003,44.79,6.72,172.46,Delivered
REF-80064,POS-1064,2026-08-05,Hungerstation,124.82,24.96,3.74,96.12,Delivered
REF-80065,POS-1065,2026-08-05,Ninja,88.83999999999999,10.66,1.6,76.58,Delivered
REF-80066,POS-1066,2026-08-05,Hungerstation,225.53,45.11,6.77,173.65,Delivered
REF-80067,POS-1067,2026-08-05,Hungerstation,197.02,39.4,5.91,151.71,Delivered
REF-80068,POS-1068,2026-08-05,Ninja,240.15,28.82,4.32,207.01,Delivered
REF-80069,POS-1069,2026-08-05,Ninja,109.46,13.14,1.97,94.35,Delivered
REF-80070,POS-1070,2026-08-05,Jahez,156.08,28.09,4.21,123.78,Delivered
REF-80071,POS-1071,2026-08-05,Chefz,160.18,35.24,5.29,119.65,Delivered
REF-80072,POS-1072,2026-08-05,Chefz,245.87,54.09,8.11,183.67,Delivered
REF-80073,POS-1073,2026-08-05,Hungerstation,50.24,10.05,1.51,38.68,Delivered
REF-80074,POS-1074,2026-08-05,Chefz,93.78,20.63,3.09,70.06,Delivered
REF-80075,POS-1075,2026-08-05,Hungerstation,80.09,16.02,2.4,46.67,Delivered
REF-80076,POS-1076,2026-08-05,Jahez,96.38,17.35,2.6,76.43,Delivered
REF-80077,POS-1077,2026-08-05,Ninja,141.91,17.03,2.55,122.33,Delivered
REF-80078,POS-1078,2026-08-05,Ninja,106.43,12.77,1.92,91.74,Delivered
REF-80079,POS-1079,2026-08-06,Ninja,110.6,13.27,1.99,95.34,Delivered
REF-80080,POS-1080,2026-08-06,Chefz,217.28,47.8,7.17,162.31,Delivered
REF-80081,POS-1081,2026-08-06,Jahez,235.3,42.35,6.35,186.6,Delivered
REF-80082,POS-1082,2026-08-06,Chefz,54.79,12.05,1.81,40.93,Delivered
REF-80083,POS-1083,2026-08-06,Chefz,83.87,18.45,2.77,62.65,Delivered
REF-80084,POS-1084,2026-08-06,Jahez,180.94,32.57,4.89,143.48,Delivered
REF-80085,POS-1085,2026-08-06,Jahez,115.32,20.76,3.11,91.45,Delivered
REF-80086,POS-1086,2026-08-06,Jahez,84.03,15.13,2.27,66.63,Delivered
REF-80087,POS-1087,2026-08-06,Jahez,102.01,18.36,2.75,80.9,Delivered
REF-80088,POS-1088,2026-08-06,Ninja,107.74,12.93,1.94,92.87,Delivered
REF-80089,POS-1089,2026-08-06,ToYou,196.4,29.46,4.42,162.52,Delivered
