POS_Order_ID,Platform_Reference_ID,Order_Date,Platform_Name,Gross_Amount_SAR,Discount_SAR,Net_Sales_SAR,POS_Status
POS-1000,REF-80000,2026-08-01,Ninja,123.49,0.0,123.49,Completed
POS-1001,REF-80001,2026-08-01,Chefz,148.73,0.0,148.73,Completed
POS-1002,REF-80002,2026-08-01,ToYou,215.92,21.59,194.32999999999998,Completed
POS-1003,REF-80003,2026-08-01,Chefz,181.89,0.0,181.89,Completed
POS-1004,REF-80004,2026-08-01,Chefz,194.4,0.0,194.4,Completed
POS-1005,REF-80005,2026-08-01,Hungerstation,83.91,0.0,83.91,Completed
POS-1006,REF-80006,2026-08-01,ToYou,153.7,0.0,153.7,Completed
POS-1007,REF-80007,2026-08-01,ToYou,186.11,0.0,186.11,Completed
POS-1008,REF-80008,2026-08-01,ToYou,88.0,0.0,88.0,Completed
POS-1009,REF-80009,2026-08-01,Chefz,76.74,0.0,76.74,Completed
POS-1010,REF-80010,2026-08-01,Ninja,246.26,0.0,246.26,Completed
POS-1011,REF-80011,2026-08-01,ToYou,148.49,14.85,133.64000000000001,Completed
POS-1012,REF-80012,2026-08-01,Chefz,94.77,9.48,85.28999999999999,Completed
POS-1013,REF-80013,2026-08-01,Hungerstation,249.21,0.0,249.21,Completed
POS-1014,REF-80014,2026-08-01,Ninja,242.74,24.27,218.47,Completed
POS-1015,REF-80015,2026-08-01,Hungerstation,157.24,0.0,157.24,Completed
POS-1016,REF-80016,2026-08-02,Ninja,225.35,0.0,225.35,Completed
POS-1017,REF-80017,2026-08-02,Chefz,79.63,0.0,79.63,Completed
POS-1018,REF-80018,2026-08-02,Jahez,98.56,0.0,98.56,Completed
POS-1019,REF-80019,2026-08-02,Ninja,187.08,0.0,187.08,Completed
POS-1020,REF-80020,2026-08-02,Hungerstation,217.8,0.0,217.8,Completed
POS-1021,REF-80021,2026-08-02,Chefz,219.83,0.0,219.83,Completed
POS-1022,REF-80022,2026-08-02,Ninja,124.95,0.0,124.95,Completed
POS-1023,REF-80023,2026-08-02,Jahez,226.43,22.64,203.79000000000002,Completed
POS-1024,REF-80024,2026-08-02,Jahez,218.69,21.87,196.82,Completed
POS-1025,REF-80025,2026-08-02,ToYou,236.48,0.0,236.48,Completed
POS-1026,REF-80026,2026-08-02,ToYou,204.92,20.49,184.42999999999998,Completed
POS-1027,REF-80027,2026-08-02,Hungerstation,180.49,18.05,162.44,Completed
POS-1028,REF-80028,2026-08-02,Ninja,161.94,16.19,145.75,Completed
POS-1029,REF-80029,2026-08-02,Ninja,118.18,0.0,118.18,Completed
POS-1030,REF-80030,2026-08-02,ToYou,237.43,23.74,213.69,Completed
POS-1031,REF-80031,2026-08-02,Ninja,244.47,0.0,244.47,Completed
POS-1032,REF-80032,2026-08-03,Ninja,99.62,9.96,89.66,Completed
POS-1033,REF-80033,2026-08-03,Jahez,104.13,10.41,93.72,Completed
POS-1034,REF-80034,2026-08-03,ToYou,141.98,0.0,141.98,Completed
POS-1035,REF-80035,2026-08-03,Chefz,134.17,13.42,120.74999999999999,Completed
POS-1036,REF-80036,2026-08-03,ToYou,248.84,24.88,223.96,Completed
POS-1037,REF-80037,2026-08-03,Chefz,76.94,7.69,69.25,Completed
POS-1038,REF-80038,2026-08-03,Jahez,43.8,0.0,43.8,Completed
POS-1039,REF-80039,2026-08-03,Hungerstation,143.72,0.0,143.72,Completed
POS-1040,REF-80040,2026-08-03,Ninja,77.55,0.0,77.55,Completed
POS-1041,REF-80041,2026-08-03,Jahez,116.96,11.7,105.25999999999999,Completed
POS-1042,REF-80042,2026-08-03,Ninja,196.28,0.0,196.28,Completed
POS-1043,REF-80043,2026-08-03,Hungerstation,191.4,0.0,191.4,Completed
POS-1044,REF-80044,2026-08-03,Hungerstation,104.69,0.0,104.69,Completed
POS-1045,REF-80045,2026-08-03,Jahez,153.93,0.0,153.93,Completed
POS-1046,REF-80046,2026-08-03,Hungerstation,146.85,14.68,132.17,Completed
POS-1047,REF-80047,2026-08-04,Chefz,173.63,17.36,156.26999999999998,Completed
POS-1048,REF-80048,2026-08-04,Hungerstation,92.6,0.0,92.6,Completed
POS-1049,REF-80049,2026-08-04,Ninja,163.87,16.39,147.48000000000002,Completed
POS-1050,REF-80050,2026-08-04,Ninja,245.57,0.0,245.57,Completed
POS-1051,REF-80051,2026-08-04,Ninja,142.22,0.0,142.22,Completed
POS-1052,REF-80052,2026-08-04,Ninja,230.28,23.03,207.25,Completed
POS-1053,REF-80053,2026-08-04,Chefz,131.22,0.0,131.22,Completed
POS-1054,REF-80054,2026-08-04,ToYou,113.52,0.0,113.52,Completed
POS-1055,REF-80055,2026-08-04,Jahez,175.47,17.55,157.92,Completed
